code,api_url,name,start_urls,model,id,is_fixed,page,url_xpath,titles_xpath,dates_xpath,authors_xpath,references_xpath,Related to 정리 (Column)
appliedplant,/notice/appliedplant,식물자원응용과학과,http://appliedplant.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Appliedplant,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
applybio,/notice/applybio,응용생물학과,http://applybio.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Applybio,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
horti,/notice/horti,원예과학과,http://horti.kangwon.ac.kr/bbs/board.php?bo_table=sub5_1,Horti,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
agecon,/notice/agecon,농업자원경제학과,http://agecon.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Agecon,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
aed,/notice/aed,지역건설공학과,http://aed.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Aed,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[4]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
dbe,/notice/dbe,바이오자원환경학과,https://dbe.kangwon.ac.kr/dbe/bbs_list.php?bbs_data=c3RhcnRQYWdlPTAmY29kZT1zdWIwN2EmdGFibGU9Y3NfYmJzX2RhdGEmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mdXJsPXN1YjA3YSZrZXl2YWx1ZT1zdWIwNw,Dbe,bbs_data,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[1]/img,null,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[4]/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[3]/text(),null,https://www.notion.so/id-17deeaec513141969a9934366e4a95e8
ecoenv,/notice/ecoenv,에코환경과학과,https://ecoenv.kangwon.ac.kr/ecoenv/bbs_list.php?bbs_data=c3RhcnRQYWdlPTAmY29kZT1zdWIwN2EmdGFibGU9Y3NfYmJzX2RhdGEmc2VhcmNoX2l0ZW09JnNlYXJjaF9vcmRlcj0mdXJsPXN1YjA3YSZrZXl2YWx1ZT1zdWIwNw,Ecoenv,bbs_data,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[1]/img,null,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a,/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[2]/a/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[4]/text(),/html/body/div[4]/div/div[2]/div[3]/div[1]/table/tbody/tr/td[3]/text(),null,https://www.notion.so/id-17deeaec513141969a9934366e4a95e8
cals,/notice/cals,동물생명과학대학,http://cals.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Cals,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,https://www.notion.so/1c392ab1886046d89e7308fbaa3db2b8
animal,/notice/animal,동물산업융합학과,http://animal.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Animal,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,https://www.notion.so/1c392ab1886046d89e7308fbaa3db2b8
applanimalsci,/notice/applanimalsci,동물응용과학과,http://applanimalsci.kangwon.ac.kr/bbs/board.php?bo_table=sub05_1,Applanimalsci,wr_id,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[1]/strong/i",page,"//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a","//*[@id=""fboardlist""]/div/table/tbody/tr/td[2]/div/a/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[5]/text()","//*[@id=""fboardlist""]/div/table/tbody/tr/td[3]/span/text()",null,
