code,api_url,name,start_urls,model,id,page,is_fixed,url_xpath,titles_xpath,dates_xpath,authors_xpath,references_xpath,in_date_xpath,drop
cals,/notice/cals,동물생명과학대학,https://cals.kangwon.ac.kr/cals/community/notice.do?articleLimit=20&article.offset=%d,Cals,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[5]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]//text()",null,0
animal,/notice/animal,동물산업융합학과,https://animal.kangwon.ac.kr/animal/community/notice.do?articleLimit=20&article.offset=%d,Animal,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
applanimalsci,/notice/applanimalsci,동물응용과학과,https://applanimalsci.kangwon.ac.kr/applanimalsci/community/notice.do?articleLimit=20&article.offset=%d,Applanimalsci,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
aniscience,/notice/aniscience,동물자원과학과,https://aniscience.kangwon.ac.kr/aniscience/community/notice.do?articleLimit=20&article.offset=%d,Aniscience,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
ace,/notice/ace,문화예술·공과대학,https://ace.kangwon.ac.kr/ace/community/event.do?articleLimit=20&article.offset=%d,Ace,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
architecture,/notice/architecture,건축학과,https://architecture.kangwon.ac.kr/architecture/community/notice.do?articleLimit=20&article.offset=%d,Architecture,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
archi,/notice/archi,건축공학과,https://archi.kangwon.ac.kr/archi/community/notice01.do?articleLimit=20&article.offset=%d,Archi,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
civil,/notice/civil,토목공학과,https://civil.kangwon.ac.kr/civil/community/notice.do?articleLimit=20&article.offset=%d,Civil,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
environ,/notice/environ,환경공학과,https://environ.kangwon.ac.kr/environ/community/notice.do?articleLimit=20&article.offset=%d,Environ,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
mechanical,/notice/mechanical,기계의용공학과,https://mechanical.kangwon.ac.kr/mechanical/community/notice-department.do?articleLimit=20&article.offset=%d,Mechanical,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
